"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2025-02-19T00:10:37+00:00","113-5520201-8035467","G24268-7-Black-6x9-US-V1","B0DBYXH8YW","X004CCN2HB","LUXRUG 6x9 Area Rug for Living Room - Large Traditional Floral Washable Rugs for Bedroom Non-Slip Charcoal Black Stain Resistant Dining Room Rug Low-Pile Carpet Soft Vinatge Rug for Office Guest Room","1","TUS1","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNPMBN9552188",
"2025-02-18T20:25:58+00:00","114-0114413-6545069","G24268-7-Black-8x10-US-V1","B0DBY8NGRN","X004CCN1OF","LUXRUG Washable Area Rug 8x10 - Large Charcoal Black Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Traditional Floral Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor","1","TUS1","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNPMCC5133349","Don’t need"
"2025-02-18T14:58:09+00:00","111-3928849-7219458","N1338-3-Sage Green-6x9-US-V1","B0DBYT5KQ7","X004CCUZEJ","LUXRUG 6x9 Area Rug for Living Room - Large Abstract Washable Rugs for Bedroom Non-Slip Sage Green Stain Resistant Dining Room Rug Rainbow Low-Pile Carpet Soft Modern Rug for Office Nursery Room","1","EWR7","CUSTOMER_DAMAGED","DAMAGED_BY_FC","Unit returned to inventory","LPNRRIV6385693",
"2025-02-18T12:30:57+00:00","111-1906698-0646666","N1338-1-Orange-3x5-US-V1","B0DBZ7YNH5","X004CCRHBX","LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Orange Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Dorm Nursery Room Home Decor","1","PGA1","SELLABLE","APPAREL_TOO_SMALL","Unit returned to inventory","LPNAC716341462","I like this rug but it’s too small I will order next size up"
"2025-02-18T11:52:00+00:00","114-0731549-8373845","G24268-1A-Cream-3x5-US-V1","B0DBYY5XMP","X004CCKR6P","LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Cream Colorful Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Entrance Dorm Office","1","EWR7","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRRIY0373858",
"2025-02-18T05:31:46+00:00","113-1356624-0903410","N1338-1-Orange-8x10-US-V1","B0DBYSVWYJ","X004CCRGQT","LUXRUG Washable Area Rug 8x10 - Large Orange Boho Rugs for Living Room Soft Abstract Bedroom Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor","1","TEN1","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNPMBD8215067",
"2025-02-18T04:39:52+00:00","111-9858548-1827452","G24267-2-Beige-8x10-US-V1","B0DBVKBXCB","X004CBGG1B","LUXRUG Washable Area Rug 8x10 - Large Cream Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Distressed Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor","1","SDF6","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNNK4J4LLNVQ",
"2025-02-18T03:25:28+00:00","113-3032228-8047408","G24267-5-Green-3x5-US-V1","B0DBVPWW8F","X004CBBSFZ","LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Vintage Oriental Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Entrance Dorm Office Home Decor","1","CHA1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNNA5755MPGQ",
"2025-02-18T02:40:28+00:00","113-3336452-3398661","N1338-3-Sage Green-3x5-US-V1","B0DBYMRB1C","X004CCZFPN","LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Dorm Nursery Room Home Decor","1","LEX2","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNNL4312GTRP",
"2025-02-17T18:24:57+00:00","112-7755901-2615421","G24267-1A-Cream-8x10-US-V1","B0DBYVNMF8","X004CCRXK3","LUXRUG Washable Area Rug 8x10 - Large Cream Colorful Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Traditional Floral Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor","1","MCI7","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNO239943637",
"2025-02-16T16:31:00+00:00","114-6755893-1646603","N1338-1-Orange-5x7-US-V1","B0DBYYVZMX","X004CCZFYJ","LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Orange Modern Abstract Rainbow Dining Room Rugs Indoor Carpet for Living Room Nursery Room","1","LEX2","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNNL4PKWH7G7","Just don&#39;t need it anymore."
